20170824200847,10.0.0.2,35734,10.0.0.1,5001,3,0.0-1.0,1310720,10485760
20170824200848,10.0.0.2,35734,10.0.0.1,5001,3,1.0-2.0,1310720,10485760
20170824200849,10.0.0.2,35734,10.0.0.1,5001,3,2.0-3.0,1310720,10485760
20170824200850,10.0.0.2,35734,10.0.0.1,5001,3,3.0-4.0,1179648,9437184
20170824200851,10.0.0.2,35734,10.0.0.1,5001,3,4.0-5.0,1310720,10485760
20170824200852,10.0.0.2,35734,10.0.0.1,5001,3,5.0-6.0,1179648,9437184
20170824200853,10.0.0.2,35734,10.0.0.1,5001,3,6.0-7.0,1048576,8388608
20170824200854,10.0.0.2,35734,10.0.0.1,5001,3,7.0-8.0,1310720,10485760
20170824200855,10.0.0.2,35734,10.0.0.1,5001,3,8.0-9.0,1179648,9437184
20170824200856,10.0.0.2,35734,10.0.0.1,5001,3,9.0-10.0,1179648,9437184
20170824200857,10.0.0.2,35734,10.0.0.1,5001,3,10.0-11.0,1048576,8388608
20170824200858,10.0.0.2,35734,10.0.0.1,5001,3,11.0-12.0,1310720,10485760
20170824200859,10.0.0.2,35734,10.0.0.1,5001,3,12.0-13.0,1179648,9437184
20170824200900,10.0.0.2,35734,10.0.0.1,5001,3,13.0-14.0,1310720,10485760
20170824200901,10.0.0.2,35734,10.0.0.1,5001,3,14.0-15.0,917504,7340032
20170824200902,10.0.0.2,35734,10.0.0.1,5001,3,15.0-16.0,1310720,10485760
20170824200903,10.0.0.2,35734,10.0.0.1,5001,3,16.0-17.0,1179648,9437184
20170824200904,10.0.0.2,35734,10.0.0.1,5001,3,17.0-18.0,1310720,10485760
20170824200905,10.0.0.2,35734,10.0.0.1,5001,3,18.0-19.0,917504,7340032
20170824200906,10.0.0.2,35734,10.0.0.1,5001,3,19.0-20.0,1310720,10485760
20170824200907,10.0.0.2,35734,10.0.0.1,5001,3,20.0-21.0,1310720,10485760
20170824200908,10.0.0.2,35734,10.0.0.1,5001,3,21.0-22.0,917504,7340032
20170824200909,10.0.0.2,35734,10.0.0.1,5001,3,22.0-23.0,1310720,10485760
20170824200910,10.0.0.2,35734,10.0.0.1,5001,3,23.0-24.0,1048576,8388608
20170824200911,10.0.0.2,35734,10.0.0.1,5001,3,24.0-25.0,1179648,9437184
20170824200912,10.0.0.2,35734,10.0.0.1,5001,3,25.0-26.0,1310720,10485760
20170824200913,10.0.0.2,35734,10.0.0.1,5001,3,26.0-27.0,1048576,8388608
20170824200914,10.0.0.2,35734,10.0.0.1,5001,3,27.0-28.0,1310720,10485760
20170824200915,10.0.0.2,35734,10.0.0.1,5001,3,28.0-29.0,1179648,9437184
20170824200916,10.0.0.2,35734,10.0.0.1,5001,3,29.0-30.0,1048576,8388608
20170824200917,10.0.0.2,35734,10.0.0.1,5001,3,30.0-31.0,1310720,10485760
20170824200918,10.0.0.2,35734,10.0.0.1,5001,3,31.0-32.0,1179648,9437184
20170824200919,10.0.0.2,35734,10.0.0.1,5001,3,32.0-33.0,1048576,8388608
20170824200920,10.0.0.2,35734,10.0.0.1,5001,3,33.0-34.0,1310720,10485760
20170824200921,10.0.0.2,35734,10.0.0.1,5001,3,34.0-35.0,1179648,9437184
20170824200922,10.0.0.2,35734,10.0.0.1,5001,3,35.0-36.0,1048576,8388608
20170824200923,10.0.0.2,35734,10.0.0.1,5001,3,36.0-37.0,1310720,10485760
20170824200924,10.0.0.2,35734,10.0.0.1,5001,3,37.0-38.0,1048576,8388608
20170824200925,10.0.0.2,35734,10.0.0.1,5001,3,38.0-39.0,1310720,10485760
20170824200926,10.0.0.2,35734,10.0.0.1,5001,3,39.0-40.0,1048576,8388608
20170824200927,10.0.0.2,35734,10.0.0.1,5001,3,40.0-41.0,1310720,10485760
20170824200928,10.0.0.2,35734,10.0.0.1,5001,3,41.0-42.0,1179648,9437184
20170824200929,10.0.0.2,35734,10.0.0.1,5001,3,42.0-43.0,1048576,8388608
20170824200930,10.0.0.2,35734,10.0.0.1,5001,3,43.0-44.0,1310720,10485760
20170824200931,10.0.0.2,35734,10.0.0.1,5001,3,44.0-45.0,1048576,8388608
20170824200932,10.0.0.2,35734,10.0.0.1,5001,3,45.0-46.0,1310720,10485760
20170824200933,10.0.0.2,35734,10.0.0.1,5001,3,46.0-47.0,1048576,8388608
20170824200934,10.0.0.2,35734,10.0.0.1,5001,3,47.0-48.0,1179648,9437184
20170824200935,10.0.0.2,35734,10.0.0.1,5001,3,48.0-49.0,1048576,8388608
20170824200936,10.0.0.2,35734,10.0.0.1,5001,3,49.0-50.0,1310720,10485760
20170824200937,10.0.0.2,35734,10.0.0.1,5001,3,50.0-51.0,1048576,8388608
20170824200938,10.0.0.2,35734,10.0.0.1,5001,3,51.0-52.0,1310720,10485760
20170824200939,10.0.0.2,35734,10.0.0.1,5001,3,52.0-53.0,1179648,9437184
20170824200940,10.0.0.2,35734,10.0.0.1,5001,3,53.0-54.0,1048576,8388608
20170824200941,10.0.0.2,35734,10.0.0.1,5001,3,54.0-55.0,1310720,10485760
20170824200942,10.0.0.2,35734,10.0.0.1,5001,3,55.0-56.0,1048576,8388608
20170824200943,10.0.0.2,35734,10.0.0.1,5001,3,56.0-57.0,1179648,9437184
20170824200944,10.0.0.2,35734,10.0.0.1,5001,3,57.0-58.0,1310720,10485760
20170824200945,10.0.0.2,35734,10.0.0.1,5001,3,58.0-59.0,1048576,8388608
20170824200946,10.0.0.2,35734,10.0.0.1,5001,3,59.0-60.0,1310720,10485760
20170824200946,10.0.0.2,35734,10.0.0.1,5001,3,0.0-60.2,71303168,9477656
